;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
107;37 513 км;Renault Sandero II Stepway;774 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/102л.с./Бензин
108;58 300 км;Renault Sandero II Stepway;725 000 ₽;2017;автомат;хэтчбек 5 дв.;передний;зелёный;1.6 л/102л.с./Бензин
109;118 000 км;Renault Sandero I;450 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.6 л/84л.с./Бензин
110;Новый;Renault Sandero II Рестайлинг Stepway;944 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Drive;1.6 л/82л.с./Бензин
111;Новый;Renault Sandero II Рестайлинг Stepway;от 770 353 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/82л.с./Бензин
112;31 772 км;Renault Sandero II Рестайлинг;865 000 ₽;2019;механика;хэтчбек 5 дв.;передний;белый;1.6 л/82л.с./Бензин
113;120 000 км;Renault Sandero I Stepway;495 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
114;130 000 км;Renault Sandero I;355 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/84л.с./Бензин
115;125 000 км;Renault Sandero I;355 000 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.4 л/75л.с./Бензин
116;139 538 км;Renault Sandero I;398 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/103л.с./Бензин
117;22 114 км;Renault Sandero II Stepway;810 000 ₽;2017;механика;хэтчбек 5 дв.;передний;золотистый;1.6 л/113л.с./Бензин
118;260 000 км;Renault Sandero I;270 000 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.4 л/75л.с./Бензин
119;9 819 км;Renault Sandero II Рестайлинг Stepway;829 000 ₽;2020;механика;хэтчбек 5 дв.;передний;белый;1.6 л/113л.с./Бензин
120;Новый;Renault Sandero II Рестайлинг Stepway;950 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Drive;1.6 л/82л.с./Бензин
121;143 000 км;Renault Sandero I;345 000 ₽;2013;механика;хэтчбек 5 дв.;передний;чёрный;1.4 л/75л.с./Бензин
122;91 000 км;Renault Sandero I;365 000 ₽;2012;механика;хэтчбек 5 дв.;передний;бежевый;1.4 л/75л.с./Бензин
123;57 470 км;Renault Sandero I Stepway;519 000 ₽;2014;механика;хэтчбек 5 дв.;передний;коричневый;1.6 л/84л.с./Бензин
124;112 000 км;Renault Sandero I;470 000 ₽;2013;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/103л.с./Бензин
125;114 717 км;Renault Sandero I Stepway;400 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
126;81 000 км;Renault Sandero I;405 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/103л.с./Бензин
127;91 500 км;Renault Sandero II;525 000 ₽;2015;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/82л.с./Бензин
128;40 000 км;Renault Sandero II Stepway;750 000 ₽;2016;автомат;хэтчбек 5 дв.;передний;бежевый;1.6 л/102л.с./Бензин
